,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
1167,ATL,ATL @ MIA,02/28/2021,,L,240,99,36,87,41.4,8,35,22.9,19,22,86.4,16,33,49,22,12,6,17,20,-10
1168,HOU,HOU vs. MEM,02/28/2021,,L,240,84,23,83,27.7,4,45,8.9,34,41,82.9,12,26,38,10,7,6,23,24,-49
1169,MEM,MEM @ HOU,02/28/2021,,W,240,133,50,94,53.2,10,30,33.3,23,28,82.1,11,45,56,27,16,3,18,31,49
1170,BOS,BOS vs. WAS,02/28/2021,,W,240,111,42,89,47.2,10,30,33.3,17,24,70.8,13,36,49,25,7,0,19,25,1
1171,WAS,WAS @ BOS,02/28/2021,,L,240,110,38,84,45.2,9,32,28.1,25,29,86.2,7,29,36,16,10,5,14,22,-1
1172,GSW,GSW @ LAL,02/28/2021,,L,240,91,35,86,40.7,8,34,23.5,13,19,68.4,3,32,35,26,10,4,20,25,-26
1173,LAL,LAL vs. GSW,02/28/2021,,W,240,117,40,85,47.1,11,31,35.5,26,38,68.4,14,46,60,22,14,6,20,21,26
1174,OKC,OKC vs. DEN,02/27/2021,,L,240,96,37,88,42.0,11,47,23.4,11,15,73.3,7,30,37,24,7,6,14,16,-30
1175,DEN,DEN @ OKC,02/27/2021,,W,240,126,49,89,55.1,15,31,48.4,13,16,81.3,6,43,49,30,6,3,13,16,30
1176,MIN,MIN @ WAS,02/27/2021,,L,240,112,41,95,43.2,11,35,31.4,19,29,65.5,12,38,50,23,9,10,18,29,-16
1177,WAS,WAS vs. MIN,02/27/2021,,W,240,128,44,98,44.9,13,33,39.4,27,34,79.4,15,42,57,27,6,6,16,24,16
1178,UTA,UTA @ ORL,02/27/2021,,W,240,124,45,85,52.9,17,45,37.8,17,24,70.8,10,42,52,29,2,3,12,14,15
1179,ORL,ORL vs. UTA,02/27/2021,,L,240,109,44,96,45.8,14,34,41.2,7,8,87.5,7,30,37,27,6,3,4,18,-15
1180,DAL,DAL @ BKN,02/27/2021,,W,240,115,45,86,52.3,14,36,38.9,11,17,64.7,6,30,36,23,12,8,9,15,17
1181,BKN,BKN vs. DAL,02/27/2021,,L,240,98,35,86,40.7,14,44,31.8,14,19,73.7,14,33,47,21,5,4,19,16,-17
1182,NYK,NYK vs. IND,02/27/2021,,W,240,110,40,81,49.4,12,24,50.0,18,22,81.8,4,34,38,26,12,2,21,22,3
1183,IND,IND @ NYK,02/27/2021,,L,240,107,38,84,45.2,11,28,39.3,20,25,80.0,6,29,35,27,5,7,16,17,-3
1184,SAS,SAS vs. NOP,02/27/2021,,W,240,117,41,86,47.7,12,32,37.5,23,28,82.1,8,30,38,24,7,5,9,26,3
1185,NOP,NOP @ SAS,02/27/2021,,L,240,114,40,91,44.0,9,32,28.1,25,31,80.6,17,35,52,27,3,2,10,17,-3
1186,CLE,CLE @ PHI,02/27/2021,,W,265,112,41,97,42.3,8,24,33.3,22,29,75.9,13,39,52,24,12,3,17,26,3
1187,PHI,PHI vs. CLE,02/27/2021,,L,265,109,38,83,45.8,10,28,35.7,23,35,65.7,8,38,46,25,9,10,19,26,-3
1188,MEM,MEM vs. LAC,02/26/2021,,L,240,99,39,97,40.2,9,28,32.1,12,16,75.0,8,29,37,24,10,4,9,14,-20
1189,LAC,LAC @ MEM,02/26/2021,,W,240,119,44,80,55.0,14,35,40.0,17,18,94.4,4,43,47,34,6,8,17,19,20
1190,OKC,OKC vs. ATL,02/26/2021,,W,240,118,46,88,52.3,16,42,38.1,10,16,62.5,5,34,39,31,6,2,10,17,9
1191,ATL,ATL @ OKC,02/26/2021,,L,240,109,43,97,44.3,12,40,30.0,11,17,64.7,19,35,54,21,6,5,11,13,-9
1192,TOR,TOR vs. HOU,02/26/2021,,W,240,122,40,89,44.9,16,41,39.0,26,27,96.3,11,37,48,29,6,8,13,20,11
1193,HOU,HOU @ TOR,02/26/2021,,L,240,111,39,91,42.9,16,47,34.0,17,20,85.0,7,30,37,23,4,5,11,24,-11
1194,DET,DET vs. SAC,02/26/2021,,L,240,107,37,82,45.1,12,33,36.4,21,32,65.6,10,35,45,20,6,6,11,25,-3
1195,SAC,SAC @ DET,02/26/2021,,W,240,110,37,89,41.6,7,32,21.9,29,41,70.7,14,35,49,24,5,6,11,25,3
1196,MIA,MIA vs. UTA,02/26/2021,,W,240,124,44,86,51.2,14,31,45.2,22,25,88.0,11,39,50,24,5,1,15,21,8
1197,UTA,UTA @ MIA,02/26/2021,,L,240,116,40,94,42.6,15,46,32.6,21,23,91.3,9,27,36,24,9,3,9,21,-8
1198,BOS,BOS vs. IND,02/26/2021,,W,240,118,42,82,51.2,9,22,40.9,25,29,86.2,7,38,45,24,3,6,12,20,6
1199,IND,IND @ BOS,02/26/2021,,L,240,112,35,89,39.3,15,46,32.6,27,29,93.1,8,32,40,26,8,6,9,22,-6
1200,CHI,CHI vs. PHX,02/26/2021,,L,240,97,39,78,50.0,12,31,38.7,7,10,70.0,6,35,41,25,2,4,19,16,-9
1201,PHX,PHX @ CHI,02/26/2021,,W,240,106,44,88,50.0,6,22,27.3,12,15,80.0,3,27,30,35,11,4,7,11,9
1202,POR,POR @ LAL,02/26/2021,,L,240,93,32,83,38.6,11,37,29.7,18,20,90.0,10,35,45,19,5,5,16,21,-9
1203,LAL,LAL vs. POR,02/26/2021,,W,240,102,37,88,42.0,7,27,25.9,21,28,75.0,15,37,52,25,9,7,10,23,9
1204,GSW,GSW vs. CHA,02/26/2021,,W,240,130,48,79,60.8,11,24,45.8,23,25,92.0,4,33,37,38,10,3,25,19,9
1205,CHA,CHA @ GSW,02/26/2021,,L,240,121,41,89,46.1,17,41,41.5,22,32,68.8,13,25,38,27,11,1,21,23,-9
1206,LAC,LAC @ MEM,02/25/2021,,L,240,94,34,84,40.5,12,34,35.3,14,16,87.5,8,33,41,19,4,4,14,15,-28
1207,MEM,MEM vs. LAC,02/25/2021,,W,240,122,50,92,54.3,11,19,57.9,11,16,68.8,7,41,48,27,7,1,7,17,28
1208,DEN,DEN vs. WAS,02/25/2021,,L,240,110,37,85,43.5,15,38,39.5,21,24,87.5,12,32,44,23,6,7,18,20,-2
1209,WAS,WAS @ DEN,02/25/2021,,W,240,112,41,86,47.7,8,26,30.8,22,25,88.0,10,32,42,24,9,2,11,20,2
1210,NOP,NOP @ MIL,02/25/2021,,L,240,125,51,102,50.0,13,39,33.3,10,14,71.4,12,35,47,32,5,4,9,17,-4
1211,MIL,MIL vs. NOP,02/25/2021,,W,240,129,52,96,54.2,13,31,41.9,12,16,75.0,8,34,42,21,4,8,9,13,4
1212,BKN,BKN vs. ORL,02/25/2021,,W,240,129,49,92,53.3,20,45,44.4,11,14,78.6,7,44,51,30,11,2,13,18,37
1213,ORL,ORL @ BKN,02/25/2021,,L,240,92,35,87,40.2,9,36,25.0,13,15,86.7,4,31,35,19,8,1,18,10,-37
1214,SAC,SAC @ NYK,02/25/2021,,L,240,121,42,85,49.4,12,35,34.3,25,33,75.8,8,26,34,25,12,0,16,22,-19
1215,NYK,NYK vs. SAC,02/25/2021,,W,240,140,51,87,58.6,19,36,52.8,19,21,90.5,9,34,43,24,8,2,16,23,19
1216,PHI,PHI vs. DAL,02/25/2021,,W,240,111,39,90,43.3,12,29,41.4,21,25,84.0,8,31,39,26,11,6,8,19,14
1217,DAL,DAL @ PHI,02/25/2021,,L,240,97,32,78,41.0,13,34,38.2,20,23,87.0,10,40,50,17,2,9,22,21,-14
1218,NOP,NOP vs. DET,02/24/2021,,W,240,128,50,90,55.6,10,23,43.5,18,29,62.1,12,33,45,31,10,6,13,10,10
1219,DET,DET @ NOP,02/24/2021,,L,240,118,47,89,52.8,13,36,36.1,11,16,68.8,9,29,38,31,8,6,13,23,-10
1220,OKC,OKC vs. SAS,02/24/2021,,W,240,102,37,89,41.6,18,44,40.9,10,11,90.9,10,42,52,21,6,4,17,14,3
1221,SAS,SAS @ OKC,02/24/2021,,L,240,99,40,86,46.5,9,25,36.0,10,15,66.7,6,38,44,20,10,4,13,13,-3
1222,BOS,BOS @ ATL,02/24/2021,,L,240,112,42,95,44.2,8,31,25.8,20,23,87.0,12,24,36,20,10,6,6,16,-15
1223,ATL,ATL vs. BOS,02/24/2021,,W,240,127,45,85,52.9,23,42,54.8,14,17,82.4,12,33,45,27,4,5,17,23,15
1224,GSW,GSW @ IND,02/24/2021,,W,240,111,39,83,47.0,5,26,19.2,28,31,90.3,8,33,41,27,10,4,18,25,4
1225,IND,IND vs. GSW,02/24/2021,,L,240,107,37,81,45.7,7,29,24.1,26,32,81.3,7,32,39,20,11,6,19,22,-4
1226,LAL,LAL @ UTA,02/24/2021,,L,240,89,34,85,40.0,8,33,24.2,13,20,65.0,12,33,45,17,5,4,14,15,-25
1227,UTA,UTA vs. LAL,02/24/2021,,W,240,114,41,87,47.1,22,48,45.8,10,15,66.7,14,39,53,28,7,1,12,16,25
1228,MIA,MIA vs. TOR,02/24/2021,,W,240,116,37,80,46.3,17,38,44.7,25,29,86.2,11,31,42,31,6,4,11,21,8
1229,TOR,TOR @ MIA,02/24/2021,,L,240,108,37,74,50.0,20,44,45.5,14,17,82.4,3,29,32,30,5,3,16,25,-8
1230,CLE,CLE vs. HOU,02/24/2021,,W,240,112,43,85,50.6,16,36,44.4,10,15,66.7,11,44,55,24,4,10,18,20,16
1231,HOU,HOU @ CLE,02/24/2021,,L,240,96,36,90,40.0,10,33,30.3,14,17,82.4,9,24,33,18,8,8,7,15,-16
1232,PHX,PHX vs. CHA,02/24/2021,,L,240,121,44,87,50.6,14,38,36.8,19,27,70.4,7,34,41,26,9,6,14,25,-3
1233,CHA,CHA @ PHX,02/24/2021,,W,240,124,43,88,48.9,13,36,36.1,25,27,92.6,9,37,46,24,8,5,14,21,3
1234,MIN,MIN @ CHI,02/24/2021,,L,265,126,47,104,45.2,12,38,31.6,20,21,95.2,13,28,41,28,11,4,17,24,-7
1235,CHI,CHI vs. MIN,02/24/2021,,W,265,133,55,93,59.1,10,25,40.0,13,16,81.3,7,36,43,28,11,5,21,15,7
1236,PHI,PHI @ TOR,02/23/2021,,W,240,109,33,80,41.3,17,38,44.7,26,30,86.7,12,42,54,24,5,8,19,15,7
1237,TOR,TOR vs. PHI,02/23/2021,,L,240,102,40,93,43.0,11,37,29.7,11,13,84.6,8,30,38,29,12,11,10,20,-7
1238,POR,POR @ DEN,02/23/2021,,L,240,106,41,87,47.1,14,41,34.1,10,10,100,7,40,47,21,0,7,9,19,-5
1239,DEN,DEN vs. POR,02/23/2021,,W,240,111,40,94,42.6,14,36,38.9,17,18,94.4,10,30,40,25,8,3,1,10,5
1240,DAL,DAL vs. BOS,02/23/2021,,W,240,110,42,89,47.2,13,33,39.4,13,15,86.7,8,30,38,19,5,1,10,17,3
1241,BOS,BOS @ DAL,02/23/2021,,L,240,107,41,86,47.7,12,39,30.8,13,18,72.2,12,34,46,19,6,6,13,21,-3
1242,MIL,MIL vs. MIN,02/23/2021,,W,240,139,53,99,53.5,20,42,47.6,13,18,72.2,9,43,52,33,11,5,8,13,27
1243,MIN,MIN @ MIL,02/23/2021,,L,240,112,42,98,42.9,19,54,35.2,9,9,100,7,36,43,35,4,5,14,16,-27
1244,CLE,CLE vs. ATL,02/23/2021,,W,240,112,41,78,52.6,15,28,53.6,15,19,78.9,7,29,36,28,7,10,16,19,1
1245,ATL,ATL @ CLE,02/23/2021,,L,240,111,40,89,44.9,14,31,45.2,17,23,73.9,13,28,41,22,10,4,13,19,-1
1246,ORL,ORL vs. DET,02/23/2021,,L,240,93,33,88,37.5,14,38,36.8,13,22,59.1,10,38,48,25,9,6,12,16,-12
1247,DET,DET @ ORL,02/23/2021,,W,240,105,41,88,46.6,10,34,29.4,13,16,81.3,8,41,49,24,10,9,15,19,12
1248,WAS,WAS @ LAC,02/23/2021,,L,240,116,47,88,53.4,11,20,55.0,11,16,68.8,6,30,36,32,5,1,13,16,-19
1249,LAC,LAC vs. WAS,02/23/2021,,W,240,135,54,94,57.4,19,38,50.0,8,13,61.5,7,39,46,26,7,5,11,22,19
1250,SAC,SAC @ BKN,02/23/2021,,L,240,118,45,87,51.7,15,31,48.4,13,19,68.4,5,33,38,25,6,7,15,17,-9
1251,BKN,BKN vs. SAC,02/23/2021,,W,240,127,44,89,49.4,17,40,42.5,22,31,71.0,10,31,41,30,8,5,8,16,9
1252,GSW,GSW @ NYK,02/23/2021,,W,240,114,40,89,44.9,13,38,34.2,21,24,87.5,7,34,41,30,9,8,10,18,8
1253,NYK,NYK vs. GSW,02/23/2021,,L,240,106,38,97,39.2,11,29,37.9,19,22,86.4,18,38,56,22,4,5,15,23,-8
1254,MIA,MIA @ OKC,02/22/2021,,W,240,108,36,81,44.4,15,40,37.5,21,25,84.0,10,35,45,30,7,6,13,20,14
1255,OKC,OKC vs. MIA,02/22/2021,,L,240,94,32,74,43.2,14,39,35.9,16,19,84.2,5,33,38,20,6,1,18,24,-14
1256,MEM,MEM @ DAL,02/22/2021,,L,240,92,37,94,39.4,6,31,19.4,12,19,63.2,13,38,51,17,7,1,14,23,-10
1257,DAL,DAL vs. MEM,02/22/2021,,W,240,102,35,80,43.8,15,41,36.6,17,26,65.4,5,44,49,17,6,4,16,18,10
1258,CHA,CHA @ UTA,02/22/2021,,L,240,110,41,89,46.1,11,36,30.6,17,21,81.0,8,27,35,18,13,2,16,17,-22
1259,UTA,UTA vs. CHA,02/22/2021,,W,240,132,45,85,52.9,28,55,50.9,14,17,82.4,8,37,45,34,7,7,23,19,22
1260,HOU,HOU vs. CHI,02/22/2021,,L,240,100,37,96,38.5,13,40,32.5,13,19,68.4,11,35,46,20,7,4,9,16,-20
1261,CHI,CHI @ HOU,02/22/2021,,W,240,120,49,91,53.8,15,36,41.7,7,10,70.0,8,47,55,24,5,5,12,17,20
1262,PHX,PHX vs. POR,02/22/2021,,W,240,132,50,99,50.5,16,33,48.5,16,18,88.9,13,30,43,29,6,5,7,13,32
1263,POR,POR @ PHX,02/22/2021,,L,240,100,37,84,44.0,12,39,30.8,14,19,73.7,13,33,46,15,6,6,17,17,-32
1264,WAS,WAS @ LAL,02/22/2021,,W,265,127,47,96,49.0,9,25,36.0,24,33,72.7,5,44,49,25,9,4,16,25,3
1265,LAL,LAL vs. WAS,02/22/2021,,L,265,124,49,104,47.1,15,44,34.1,11,17,64.7,12,33,45,29,9,11,20,29,-3
1266,NOP,NOP vs. BOS,02/21/2021,,W,265,120,42,94,44.7,11,36,30.6,25,37,67.6,12,40,52,22,5,7,13,24,5
1267,BOS,BOS @ NOP,02/21/2021,,L,265,115,39,98,39.8,10,37,27.0,27,34,79.4,11,38,49,22,9,11,11,30,-5
1268,PHI,PHI @ TOR,02/21/2021,,L,240,103,33,85,38.8,11,37,29.7,26,35,74.3,11,34,45,26,8,7,10,21,-7
1269,TOR,TOR vs. PHI,02/21/2021,,W,240,110,40,81,49.4,14,34,41.2,16,18,88.9,5,34,39,25,5,5,14,24,7
1270,ATL,ATL vs. DEN,02/21/2021,,W,240,123,42,81,51.9,12,34,35.3,27,33,81.8,10,34,44,29,6,4,11,20,8
1271,DEN,DEN @ ATL,02/21/2021,,L,240,115,43,84,51.2,16,36,44.4,13,16,81.3,3,30,33,25,8,3,13,24,-8
1272,SAC,SAC @ MIL,02/21/2021,,L,240,115,44,100,44.0,12,33,36.4,15,20,75.0,14,29,43,29,6,3,13,26,-13
1273,MIL,MIL vs. SAC,02/21/2021,,W,240,128,44,90,48.9,11,28,39.3,29,36,80.6,14,42,56,22,8,5,18,19,13
1274,CLE,CLE vs. OKC,02/21/2021,,L,240,101,39,84,46.4,8,35,22.9,15,20,75.0,14,28,42,22,9,4,18,17,-16
1275,OKC,OKC @ CLE,02/21/2021,,W,240,117,43,79,54.4,13,28,46.4,18,24,75.0,5,32,37,22,9,3,15,18,16
1276,ORL,ORL vs. DET,02/21/2021,,W,240,105,35,81,43.2,9,30,30.0,26,29,89.7,5,46,51,24,7,8,12,18,9
1277,DET,DET @ ORL,02/21/2021,,L,240,96,34,91,37.4,11,40,27.5,17,21,81.0,9,40,49,23,10,4,11,21,-9
1278,BKN,BKN @ LAC,02/21/2021,,W,240,112,44,92,47.8,11,38,28.9,13,19,68.4,9,31,40,21,10,4,6,19,4
1279,LAC,LAC vs. BKN,02/21/2021,,L,240,108,40,87,46.0,15,35,42.9,13,18,72.2,16,36,52,24,3,4,17,17,-4
1280,MIN,MIN @ NYK,02/21/2021,,L,240,99,33,82,40.2,16,35,45.7,17,21,81.0,7,36,43,24,6,3,16,24,-4
1281,NYK,NYK vs. MIN,02/21/2021,,W,240,103,33,78,42.3,6,18,33.3,31,38,81.6,11,37,48,17,4,4,13,25,4
1282,MEM,MEM vs. PHX,02/20/2021,,L,240,97,36,93,38.7,5,33,15.2,20,23,87.0,17,32,49,19,5,4,12,12,-31
1283,PHX,PHX @ MEM,02/20/2021,,W,240,128,46,86,53.5,24,46,52.2,12,13,92.3,5,36,41,35,5,7,12,14,31
1284,CHA,CHA vs. GSW,02/20/2021,,W,240,102,37,75,49.3,20,40,50.0,8,9,88.9,4,40,44,23,7,2,25,22,2
1285,GSW,GSW @ CHA,02/20/2021,,L,240,100,37,85,43.5,13,39,33.3,13,17,76.5,9,30,39,23,10,3,14,12,-2
1286,WAS,WAS @ POR,02/20/2021,,W,240,118,45,89,50.6,6,26,23.1,22,29,75.9,12,42,54,23,8,3,17,19,7
1287,POR,POR vs. WAS,02/20/2021,,L,240,111,37,103,35.9,19,55,34.5,18,25,72.0,17,33,50,19,10,7,13,22,-7
1288,CHI,CHI vs. SAC,02/20/2021,,W,240,122,49,82,59.8,11,23,47.8,13,15,86.7,2,36,38,24,5,8,14,23,8
1289,SAC,SAC @ CHI,02/20/2021,,L,240,114,44,98,44.9,8,29,27.6,18,22,81.8,12,29,41,22,8,3,7,18,-8
1290,MIA,MIA @ LAL,02/20/2021,,W,240,96,36,85,42.4,8,28,28.6,16,23,69.6,10,39,49,24,8,3,14,20,2
1291,LAL,LAL vs. MIA,02/20/2021,,L,240,94,33,84,39.3,13,45,28.9,15,17,88.2,6,37,43,25,5,6,15,17,-2
1292,NOP,NOP vs. PHX,02/19/2021,,L,240,114,42,82,51.2,11,32,34.4,19,24,79.2,6,31,37,28,11,3,14,16,-18
1293,PHX,PHX @ NOP,02/19/2021,,W,240,132,51,88,58.0,22,39,56.4,8,12,66.7,4,33,37,38,8,4,13,17,18
1294,MEM,MEM vs. DET,02/19/2021,,W,240,109,42,90,46.7,5,20,25.0,20,23,87.0,13,36,49,20,12,4,13,13,14
1295,DET,DET @ MEM,02/19/2021,,L,240,95,36,86,41.9,14,45,31.1,9,13,69.2,13,32,45,27,8,7,21,22,-14
1296,MIN,MIN vs. TOR,02/19/2021,,L,240,81,32,83,38.6,9,38,23.7,8,11,72.7,6,37,43,24,6,9,17,23,-5
1297,TOR,TOR @ MIN,02/19/2021,,W,240,86,28,85,32.9,12,40,30.0,18,22,81.8,15,36,51,16,8,6,15,16,5
1298,MIL,MIL vs. OKC,02/19/2021,,W,240,98,35,86,40.7,11,34,32.4,17,25,68.0,11,50,61,23,5,6,13,18,13
1299,OKC,OKC @ MIL,02/19/2021,,L,240,85,31,85,36.5,12,40,30.0,11,21,52.4,8,38,46,20,4,5,12,23,-13
1300,DEN,DEN @ CLE,02/19/2021,,W,240,120,46,80,57.5,15,31,48.4,13,17,76.5,6,31,37,24,9,2,17,17,17
1301,CLE,CLE vs. DEN,02/19/2021,,L,240,103,39,83,47.0,12,31,38.7,13,21,61.9,13,21,34,30,8,4,18,15,-17
1302,ORL,ORL vs. GSW,02/19/2021,,W,240,124,46,94,48.9,18,43,41.9,14,17,82.4,8,43,51,30,7,8,13,19,4
1303,GSW,GSW @ ORL,02/19/2021,,L,240,120,46,97,47.4,19,42,45.2,9,15,60.0,9,36,45,37,8,0,13,19,-4
1304,UTA,UTA @ LAC,02/19/2021,,L,240,112,41,86,47.7,12,34,35.3,18,21,85.7,6,32,38,13,7,6,11,22,-4
1305,LAC,LAC vs. UTA,02/19/2021,,W,240,116,43,89,48.3,10,30,33.3,20,22,90.9,11,34,45,22,5,4,11,20,4
1306,BOS,BOS vs. ATL,02/19/2021,,W,240,121,50,90,55.6,14,35,40.0,7,10,70.0,9,35,44,26,8,12,18,21,12
1307,ATL,ATL @ BOS,02/19/2021,,L,240,109,38,90,42.2,10,30,33.3,23,25,92.0,13,28,41,21,14,6,14,14,-12
1308,PHI,PHI vs. CHI,02/19/2021,,W,240,112,41,87,47.1,7,21,33.3,23,29,79.3,16,37,53,23,5,7,15,18,7
1309,CHI,CHI @ PHI,02/19/2021,,L,240,105,40,95,42.1,7,32,21.9,18,18,100,13,29,42,24,5,6,11,20,-7
1310,MIA,MIA @ SAC,02/18/2021,,W,240,118,49,95,51.6,12,34,35.3,8,10,80.0,8,37,45,36,8,2,16,15,8
1311,SAC,SAC vs. MIA,02/18/2021,,L,240,110,43,93,46.2,15,41,36.6,9,16,56.3,13,31,44,29,7,3,16,18,-8
1312,TOR,TOR @ MIL,02/18/2021,,W,240,110,38,78,48.7,12,35,34.3,22,23,95.7,2,35,37,26,6,6,9,21,14
1313,MIL,MIL vs. TOR,02/18/2021,,L,240,96,35,88,39.8,10,34,29.4,16,23,69.6,15,37,52,23,6,2,15,23,-14
1314,LAL,LAL vs. BKN,02/18/2021,,L,240,98,40,83,48.2,8,30,26.7,10,14,71.4,10,29,39,21,7,4,16,16,-11
1315,BKN,BKN @ LAL,02/18/2021,,W,240,109,38,77,49.4,18,39,46.2,15,24,62.5,8,31,39,23,9,3,14,18,11
1316,NOP,NOP vs. POR,02/17/2021,,L,240,124,43,89,48.3,15,32,46.9,23,29,79.3,18,33,51,25,5,1,12,15,-2
1317,POR,POR @ NOP,02/17/2021,,W,240,126,46,90,51.1,18,41,43.9,16,18,88.9,7,24,31,26,6,7,9,19,2
1318,MEM,MEM vs. OKC,02/17/2021,,W,240,122,42,83,50.6,12,26,46.2,26,33,78.8,7,37,44,31,14,4,13,18,9
1319,OKC,OKC @ MEM,02/17/2021,,L,240,113,35,78,44.9,19,41,46.3,24,28,85.7,6,33,39,25,5,3,18,25,-9
1320,WAS,WAS vs. DEN,02/17/2021,,W,240,130,44,86,51.2,15,33,45.5,27,34,79.4,9,36,45,31,7,3,14,20,2
1321,DEN,DEN @ WAS,02/17/2021,,L,240,128,48,92,52.2,17,38,44.7,15,18,83.3,10,32,42,23,7,7,13,26,-2
1322,MIN,MIN vs. IND,02/17/2021,,L,265,128,45,107,42.1,15,40,37.5,23,25,92.0,11,33,44,37,12,8,11,20,-6
1323,IND,IND @ MIN,02/17/2021,,W,265,134,49,97,50.5,13,26,50.0,23,27,85.2,10,41,51,31,5,7,15,18,6
1324,ORL,ORL vs. NYK,02/17/2021,,W,240,107,42,92,45.7,16,34,47.1,7,10,70.0,10,40,50,27,10,7,14,15,18
1325,NYK,NYK @ ORL,02/17/2021,,L,240,89,33,87,37.9,7,27,25.9,16,19,84.2,10,36,46,16,7,5,16,14,-18
1326,UTA,UTA @ LAC,02/17/2021,,W,240,114,42,98,42.9,13,40,32.5,17,20,85.0,17,36,53,19,12,3,13,15,18
1327,LAC,LAC vs. UTA,02/17/2021,,L,240,96,38,86,44.2,9,26,34.6,11,17,64.7,9,38,47,18,5,2,17,19,-18
1328,BOS,BOS vs. ATL,02/17/2021,,L,240,114,40,86,46.5,10,31,32.3,24,27,88.9,11,26,37,22,9,3,16,27,-8
1329,ATL,ATL @ BOS,02/17/2021,,W,240,122,44,77,57.1,8,24,33.3,26,31,83.9,8,29,37,19,8,2,15,18,8
1330,CHI,CHI vs. DET,02/17/2021,,W,240,105,41,85,48.2,8,28,28.6,15,24,62.5,8,38,46,29,8,7,13,20,3
1331,DET,DET @ CHI,02/17/2021,,L,240,102,37,82,45.1,8,28,28.6,20,24,83.3,6,34,40,15,9,2,13,21,-3
1332,MIA,MIA @ GSW,02/17/2021,,L,265,112,44,97,45.4,13,36,36.1,11,12,91.7,7,42,49,28,8,5,18,22,-8
1333,GSW,GSW vs. MIA,02/17/2021,,W,265,120,43,95,45.3,18,52,34.6,16,21,76.2,9,37,46,32,10,1,16,19,8
1334,PHI,PHI vs. HOU,02/17/2021,,W,240,118,39,81,48.1,12,26,46.2,28,32,87.5,7,40,47,23,12,6,23,21,5
1335,HOU,HOU @ PHI,02/17/2021,,L,240,113,42,92,45.7,15,47,31.9,14,18,77.8,9,30,39,26,13,6,18,24,-5
1336,MEM,MEM vs. NOP,02/16/2021,,L,240,113,42,88,47.7,13,31,41.9,16,18,88.9,9,23,32,23,10,0,19,18,-31
1337,NOP,NOP @ MEM,02/16/2021,,W,240,144,56,91,61.5,19,38,50.0,13,17,76.5,11,36,47,33,14,4,19,19,31
1338,OKC,OKC vs. POR,02/16/2021,,L,240,104,37,85,43.5,10,33,30.3,20,27,74.1,7,39,46,23,6,3,11,16,-11
1339,POR,POR @ OKC,02/16/2021,,W,240,115,42,96,43.8,20,47,42.6,11,17,64.7,15,39,54,26,6,8,10,23,11
1340,MIN,MIN vs. LAL,02/16/2021,,L,240,104,39,93,41.9,16,34,47.1,10,13,76.9,11,27,38,26,11,4,15,27,-8
1341,LAL,LAL @ MIN,02/16/2021,,W,240,112,42,77,54.5,11,26,42.3,17,21,81.0,6,32,38,20,8,8,18,14,8
1342,MIL,MIL vs. TOR,02/16/2021,,L,240,113,40,83,48.2,14,37,37.8,19,25,76.0,5,36,41,25,10,5,17,17,-11
1343,TOR,TOR @ MIL,02/16/2021,,W,240,124,46,91,50.5,17,43,39.5,15,21,71.4,8,36,44,25,8,6,15,18,11
1344,BOS,BOS vs. DEN,02/16/2021,,W,240,112,39,81,48.1,15,42,35.7,19,21,90.5,10,33,43,26,7,1,22,22,13
1345,DEN,DEN @ BOS,02/16/2021,,L,240,99,38,84,45.2,9,34,26.5,14,15,93.3,11,27,38,25,12,3,17,18,-13
1346,BKN,BKN @ PHX,02/16/2021,,W,240,128,47,82,57.3,20,40,50.0,14,15,93.3,4,33,37,28,4,4,10,11,4
1347,PHX,PHX vs. BKN,02/16/2021,,L,240,124,48,88,54.5,16,37,43.2,12,12,100,4,30,34,28,7,3,6,15,-4
1348,WAS,WAS vs. HOU,02/15/2021,,W,240,131,48,92,52.2,12,30,40.0,23,31,74.2,10,37,47,25,14,2,15,24,12
1349,HOU,HOU @ WAS,02/15/2021,,L,240,119,43,91,47.3,8,37,21.6,25,34,73.5,9,32,41,23,9,5,18,22,-12
1350,BKN,BKN @ SAC,02/15/2021,,W,240,136,51,89,57.3,27,47,57.4,7,12,58.3,9,26,35,31,7,4,15,16,11
1351,SAC,SAC vs. BKN,02/15/2021,,L,240,125,51,96,53.1,12,33,36.4,11,13,84.6,15,26,41,24,6,6,15,13,-11
1352,IND,IND vs. CHI,02/15/2021,,L,265,112,39,92,42.4,9,33,27.3,25,31,80.6,8,39,47,18,9,14,19,23,-8
1353,CHI,CHI @ IND,02/15/2021,,W,265,120,44,102,43.1,13,33,39.4,19,22,86.4,13,47,60,25,6,2,19,24,8
1354,UTA,UTA vs. PHI,02/15/2021,,W,240,134,45,86,52.3,18,45,40.0,26,31,83.9,7,29,36,18,9,4,11,18,11
1355,PHI,PHI @ UTA,02/15/2021,,L,240,123,47,94,50.0,8,23,34.8,21,24,87.5,12,30,42,19,6,4,12,21,-11
1356,MIA,MIA @ LAC,02/15/2021,,L,240,118,46,91,50.5,8,36,22.2,18,22,81.8,9,30,39,27,7,6,8,21,-7
1357,LAC,LAC vs. MIA,02/15/2021,,W,240,125,47,85,55.3,15,32,46.9,16,20,80.0,7,32,39,31,5,0,12,22,7
